,drink_name,category,instructions,picture,taste,ingredients1,quantity1,ingredients2,quantity2,ingredients3,quantity3,ingredients4,quantity4,ingredients5,quantity5,ingredients6,quantity6,ingredients7,quantity7,ingredients8,quantity8,ingredients9,quantity9,ingredients10,quantity10,ingredients11,quantity11,ingredients12,quantity12
18,50/50,"ordinary drink, ordinary drink",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,sour,vanilla vodka,2 1/2 oz,grand marnier,1 splash,orange juice,fill with,,,,,,,,,,,,,,,,,,
19,50/50 Split,,Stir gently and garnish with a lemon twist.,,,junipero gin,1.5 oz,dry vermouth,.75 oz,tempus fugit alessio vermouth bianco,.75 oz,the bitter truth orange bitters,1 dash,,,,,,,,,,,,,,,,
20,501 Blue,"ordinary drink, ordinary drink",Mix equal amounts into a glass with ice.,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,sweet,blue curacao,,blueberry schnapps,,vodka,,sour mix,,7-up,,,,,,,,,,,,,,,
21,69 Special,"ordinary drink, shot","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,,gin,2 oz dry,7-up,4 oz,lemon juice,0.75 oz,,,,,,,,,,,,,,,,,,
22,747,"shot, cocktail","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,,kahlua,1/3 part,bailey's irish cream,1/3 part,frangelico,1/3 part,,,,,,,,,,,,,,,,,,
23,7th Heaven,,Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,,,no.3 london dry gin,1.5 oz,luxardo maraschino liqueur,.5 oz,grapefruit juice,1 oz,pages elderflower syrup,.25 oz,angostura bitters,1 dash,,,,,,,,,,,,,,
24,9 1/2 Weeks,"cocktail, ordinary drink",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,sweet,absolut citron,2 oz,orange curacao,1/2 oz,strawberry liqueur,1 splash,orange juice,1 oz,,,,,,,,,,,,,,,,
25,A Bloody Shame,,"Shaken and strained into a large coupe. Garnish with a dehydrated lime wheel soaked in Angostura Bitters.. . *Blood Orange Vanilla Mint Puree:. -- 1 container Boiron Blood Orange Puree (34 oz.). -- 39 grams Mint (stems and leaves). -- 1 tsp Vanilla Extract. -- 30 oz White Sugar. . Combine all the ingredients except the mint in a pot. . Bring to a light simmer, stirring to incorporate everything.. Then add the mint and cook for 5 minutes, then remove the pot from the heat and strain through a chinois to remove the mint.. Label and date a container, then place in your fridge. Use within a week.",,,vodka,1.5 oz,luxardo amaretto di saschira,.5 oz,blood orange vanilla mint puree*,.75 oz,lime juice,.75 oz,,,,,,,,,,,,,,,,
26,A Botanical Garden,,"Combine all ingredients in a shaking tin and give it a short shake, five seconds. Strain into an old fashined glass with three medium sized ice cubes.",,,hophead vodka,1.5 oz,zirbenz stone pine,.75 oz,fresh strawberry juice w/ xanthan gum*,.75 oz,lemon juice,.75 oz,simple syrup,.5 oz,,,,,,,,,,,,,,
27,A Day at the Beach,"ordinary drink, ordinary drink","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,sweet,coconut rum,1 oz,amaretto,1/2 oz,orange juice,4 oz,grenadine,1/2 oz,,,,,,,,,,,,,,,,
28,A Furlong Too Late,"ordinary drink, cocktail",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,,light rum,2 oz,ginger beer,4 oz,lemon peel,1 twist of,,,,,,,,,,,,,,,,,,
29,A Gift from Zara,,Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,,,luxardo bitter bianco,1.5 oz,london dry gin,.75 oz,elderflower liqueur,.75 oz,citric acid,2 dash,orange flower water,4 drops,topo chico mineral water,2.5 oz,,,,,,,,,,,,
30,A Gilligan's Island,"cocktail, ordinary drink","Shaken, not stirred!",http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,sweet,vodka,1 oz,peach schnapps,1 oz,orange juice,3 oz,cranberry juice,3 oz,,,,,,,,,,,,,,,,
31,A Love Song,,Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,,,no.3 london dry gin,1 oz,maurin quina,1 oz,luxardo bitter,.5 oz,king's ginger liqueur,.5 oz,,,,,,,,,,,,,,,,
32,A Mi Manera (My Way) Pisco Punch,,"Mix the Pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. Place a large 2.2 lb. ice block 10 minutes before serving. Scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. Garnish with candied pineapple wheel from Dress the Drink.",,,barsol selecto italia pisco,2 oz,luxardo apricot liqueur,1 oz,minta soda,2 oz,citric acid or lime juice,1 pinc,op pineapple sorbet,1 sc,,,,,,,,,,,,,,
